loai_hinh,gia_ban,log_gia_ban,gia_m2,dien_tich,chieu_ngang,dien_tich_su_dung,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,giay_to_phap_ly,dac_diem,quan,room_density,bath_density,area_per_floor,frontage_density,desc_length,price_zscore_district,price_percentile_district
"Nhà ngõ, hẻm",3.85,1.578978704949392,106.94,36.0,4.5,36.0,2,2,2,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.05555555555555555,0.05555555555555555,18.0,0.125,584,-0.3641219044696294,0.08697347893915756
"Nhà ngõ, hẻm",9.79,2.378619779270043,157.9,62.0,4.0,62.0,4,3,3,Không rõ,Không rõ,Không rõ,Binh Thanh,0.06451612903225806,0.04838709677419355,20.666666666666668,0.06451612903225806,341,0.08232528704106597,0.767160686427457
"Nhà ngõ, hẻm",7.2,2.1041341542702074,133.33,54.0,7.0,54.0,3,2,2,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05555555555555555,0.037037037037037035,27.0,0.12962962962962962,220,-0.11233771397117319,0.5686427457098284
"Nhà ngõ, hẻm",8.5,2.2512917986064953,102.41,83.0,7.5,83.0,3,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.03614457831325301,0.03614457831325301,27.666666666666668,0.09036144578313253,252,-0.014630416165802157,0.7108034321372855
"Nhà ngõ, hẻm",2.85,1.3480731482996928,158.33,18.0,3.0,18.0,2,1,3,Không rõ,Đã có sổ,Hiện trạng khác,Binh Thanh,0.1111111111111111,0.05555555555555555,6.0,0.16666666666666666,195,-0.4392813643199148,0.039781591263650544
"Nhà ngõ, hẻm",13.0,2.639057329615259,108.33,120.0,5.6,166.0,5,3,2,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.041666666666666664,0.025,83.0,0.04666666666666666,87,0.32358715316048225,0.8666146645865834
"Nhà ngõ, hẻm",11.2,2.501435951739211,188.55,59.4,4.2,59.4,4,4,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06734006734006734,0.06734006734006734,19.8,0.07070707070707072,682,0.18830012542996843,0.8207878315132605
Nhà phố liền kề,4.58,1.7191887763932197,176.15,26.0,4.0,26.0,2,2,3,Nội thất đầy đủ,Đã có sổ,Không rõ,Binh Thanh,0.07692307692307693,0.07692307692307693,8.666666666666666,0.15384615384615385,77,-0.309255498778921,0.17804212168486738
"Nhà mặt phố, mặt tiền",25.8,3.288401887516811,322.5,80.0,4.0,320.0,9,5,5,Nội thất đầy đủ,Đã có sổ,Mặt tiền,Binh Thanh,0.1125,0.0625,64.0,0.05,711,1.2856282392441356,0.9764040561622465
"Nhà ngõ, hẻm",11.3,2.509599262378372,166.18,68.0,4.0,163.0,4,3,4,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.058823529411764705,0.04411764705882353,40.75,0.058823529411764705,339,0.19581607141499707,0.8223478939157566
"Nhà ngõ, hẻm",11.5,2.5257286443082556,191.67,60.0,4.5,60.0,4,3,4,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06666666666666667,0.05,15.0,0.075,401,0.2108479633850541,0.8260530421216848
Nhà biệt thự,24.5,3.2386784521643803,122.5,200.0,10.0,317.0,5,5,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.025,0.025,105.66666666666667,0.05,428,1.1879209414387646,0.9728939157566303
"Nhà mặt phố, mặt tiền",33.9,3.5524868292083815,385.23,88.0,4.4,300.0,6,6,4,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.06818181818181818,0.06818181818181818,75.0,0.05,729,1.8944198640314474,0.9902496099843994
"Nhà mặt phố, mặt tiền",25.8,3.288401887516811,322.5,80.0,4.0,320.0,9,5,5,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.1125,0.0625,64.0,0.05,710,1.2856282392441356,0.9764040561622465
"Nhà ngõ, hẻm",4.7,1.7404661748405044,97.92,48.0,4.0,48.0,3,2,3,Không rõ,Đã có sổ,Mặt tiền,Binh Thanh,0.0625,0.041666666666666664,16.0,0.08333333333333333,217,-0.30023636359688677,0.20261310452418096
"Nhà ngõ, hẻm",9.3,2.33214389523559,132.86,70.0,5.0,70.0,5,4,3,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.07142857142857142,0.05714285714285714,23.333333333333332,0.07142857142857142,370,0.04549715171442623,0.7537051482059283
"Nhà ngõ, hẻm",10.8,2.468099531471619,83.08,130.0,4.5,130.0,10,6,2,Hoàn thiện cơ bản,Đã có sổ,Không rõ,Binh Thanh,0.07692307692307693,0.046153846153846156,65.0,0.03461538461538462,333,0.15823634148985435,0.8071372854914196
Nhà biệt thự,62.0,4.143134726391533,204.62,303.0,12.15,682.7,5,6,4,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.0165016501650165,0.019801980198019802,170.675,0.0400990099009901,198,4.006400685824468,0.9980499219968799
"Nhà ngõ, hẻm",8.0,2.1972245773362196,163.6,48.9,3.2,120.0,3,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.06134969325153374,0.06134969325153374,40.0,0.065439672801636,325,-0.05221014609094487,0.6862324492979719
"Nhà ngõ, hẻm",11.0,2.4849066497880004,119.57,92.0,4.0,320.0,5,5,4,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05434782608695652,0.05434782608695652,80.0,0.043478260869565216,348,0.1732682334599114,0.8161076443057722
"Nhà ngõ, hẻm",2.85,1.3480731482996928,142.5,20.0,3.0,20.0,2,1,2,Không rõ,Đã có sổ,Hiện trạng khác,Binh Thanh,0.1,0.05,10.0,0.15,192,-0.4392813643199148,0.039781591263650544
"Nhà ngõ, hẻm",6.4,2.0014800002101243,160.0,40.0,5.0,40.0,3,4,4,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.075,0.1,10.0,0.125,744,-0.1724652818514015,0.44754290171606864
"Nhà ngõ, hẻm",6.4,2.0014800002101243,88.89,72.0,7.0,72.0,6,6,2,Nội thất đầy đủ,Đã có sổ,Không rõ,Binh Thanh,0.08333333333333333,0.08333333333333333,36.0,0.09722222222222222,128,-0.1724652818514015,0.44754290171606864
"Nhà ngõ, hẻm",7.2,2.1041341542702074,133.33,54.0,7.0,54.0,3,2,2,Hoàn thiện cơ bản,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05555555555555555,0.037037037037037035,27.0,0.12962962962962962,220,-0.11233771397117319,0.5686427457098284
"Nhà ngõ, hẻm",5.959,1.9400357858627129,175.26,34.0,3.0,68.0,2,2,2,Nội thất cao cấp,Đã có sổ,Hiện trạng khác,Binh Thanh,0.058823529411764705,0.058823529411764705,34.0,0.08823529411764706,494,-0.20561060364537745,0.38650546021840876
"Nhà ngõ, hẻm",25.2,3.265759410767051,229.09,110.0,4.0,110.0,10,6,5,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.09090909090909091,0.05454545454545454,22.0,0.03636363636363636,1089,1.2405325633339643,0.9754290171606864
"Nhà ngõ, hẻm",3.68,1.5432981099295553,204.44,18.0,4.0,18.0,2,3,3,Không rõ,Đã có sổ,Không rõ,Binh Thanh,0.1111111111111111,0.16666666666666666,6.0,0.2222222222222222,389,-0.3768990126441779,0.07000780031201248
"Nhà ngõ, hẻm",5.98,1.943048916774281,186.88,32.0,4.0,32.0,3,3,3,Nội thất đầy đủ,Đã có sổ,Nhà nở hậu,Binh Thanh,0.09375,0.09375,10.666666666666666,0.125,356,-0.2040322549885214,0.39001560062402496
Nhà phố liền kề,7.0,2.0794415416798357,233.33,30.0,5.0,90.0,5,4,5,Nội thất cao cấp,Đã có sổ,Mặt tiền,Binh Thanh,0.16666666666666666,0.13333333333333333,18.0,0.16666666666666666,429,-0.12736960594123029,0.5514820592823713
"Nhà ngõ, hẻm",8.0,2.1972245773362196,125.79,63.6,5.2,63.6,5,4,4,Nội thất đầy đủ,Đã có sổ,Không rõ,Binh Thanh,0.07861635220125786,0.06289308176100629,15.9,0.08176100628930817,244,-0.05221014609094487,0.6862324492979719
"Nhà ngõ, hẻm",3.98,1.6054298910365616,234.12,17.0,3.5,17.0,2,3,3,Nội thất cao cấp,Đã có sổ,Nhà nở hậu,Binh Thanh,0.11764705882352941,0.17647058823529413,5.666666666666667,0.20588235294117646,437,-0.3543511746890922,0.12012480499219969
"Nhà ngõ, hẻm",4.68,1.7369512327330598,133.71,35.0,5.0,35.0,2,2,2,Nội thất cao cấp,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05714285714285714,0.05714285714285714,17.5,0.14285714285714285,229,-0.3017395527938925,0.1940327613104524
Nhà biệt thự,22.0,3.1354942159291497,183.33,120.0,6.0,600.0,5,6,6,Nội thất đầy đủ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.041666666666666664,0.05,100.0,0.05,627,1.000022291813051,0.9561232449297972
"Nhà ngõ, hẻm",3.9,1.589235205116581,195.0,20.0,3.8,40.0,2,2,2,Nội thất đầy đủ,Đã có sổ,Mặt tiền,Binh Thanh,0.1,0.1,20.0,0.19,1001,-0.3603639314771151,0.0969188767550702
"Nhà ngõ, hẻm",6.25,1.9810014688665833,231.48,27.0,4.0,27.0,3,4,3,Nội thất cao cấp,Đã có sổ,Không rõ,Binh Thanh,0.1111111111111111,0.14814814814814814,9.0,0.14814814814814814,288,-0.18373920082894435,0.4284321372854914
"Nhà ngõ, hẻm",7.3,2.1162555148025524,135.19,54.0,6.0,54.0,3,3,3,Không rõ,Đã có sổ,Hẻm xe hơi,Binh Thanh,0.05555555555555555,0.05555555555555555,18.0,0.1111111111111111,302,-0.10482176798614468,0.5746879875195008
